genre,artist_name,track_name,popularity,danceability,energy,tempo,valence,categoria_popularidade
Alternative,Slipknot,Duality,73,0.354,0.982,143.772,0.194,Muito Popular
Alternative,Skillet,Feel Invincible,68,0.603,0.886,126.025,0.395,Muito Popular
Alternative,The Neighbourhood,Daddy Issues,71,0.588,0.521,85.012,0.337,Muito Popular
Alternative,Theory of a Deadman,Rx (Medicate),68,0.639,0.71,119.989,0.378,Muito Popular
Alternative,Rise Against,Savior,69,0.549,0.93,112.447,0.526,Muito Popular
Alternative,Red Hot Chili Peppers,Scar Tissue,73,0.595,0.717,88.969,0.547,Muito Popular
Alternative,System Of A Down,Toxicity,74,0.413,0.873,116.681,0.481,Muito Popular
Alternative,Puddle Of Mudd,Blurry,63,0.44,0.929,157.49,0.495,Popular
Alternative,Nirvana,Heart-Shaped Box,71,0.494,0.677,101.539,0.316,Muito Popular
Alternative,Breakbot,Baby I'm Yours - feat. Irfrane,63,0.831,0.794,118.075,0.735,Popular
Alternative,Pearl Jam,Even Flow,72,0.394,0.944,105.338,0.265,Muito Popular
Alternative,Red Hot Chili Peppers,Otherside,75,0.458,0.795,123.229,0.513,Muito Popular
Alternative,Everclear,Santa Monica,66,0.491,0.942,100.446,0.387,Muito Popular
Alternative,Good Charlotte,The Anthem,70,0.494,0.939,177.751,0.893,Muito Popular
Alternative,The 1975,It's Not Living (If It's Not With You),71,0.618,0.824,121.238,0.598,Muito Popular
Alternative,Kiana Ledé,Bouncin (feat. Offset),69,0.942,0.557,100.986,0.77,Muito Popular
Alternative,Summer Walker,Girls Need Love,69,0.645,0.418,96.963,0.123,Muito Popular
Alternative,Rage Against The Machine,Bulls On Parade,70,0.412,0.919,166.367,0.572,Muito Popular
Alternative,Linkin Park,What I've Done,74,0.623,0.93,120.119,0.287,Muito Popular
Alternative,Breaking Benjamin,The Diary of Jane - Single Version,65,0.391,0.963,167.065,0.364,Muito Popular
Alternative,Steve Lacy,Dark Red,64,0.603,0.783,172.041,0.775,Popular
Alternative,Alice In Chains,Would?,69,0.305,0.832,100.677,0.585,Muito Popular
Alternative,Stone Temple Pilots,Interstate Love Song,69,0.214,0.947,170.616,0.483,Muito Popular
Alternative,Lifehouse,You And Me,73,0.456,0.432,139.909,0.391,Muito Popular
Alternative,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,69,0.404,0.72,121.649,0.475,Muito Popular
Alternative,Capital Cities,Safe And Sound,73,0.656,0.821,117.948,0.791,Muito Popular
Alternative,Three Days Grace,Animal I Have Become,69,0.553,0.853,122.023,0.506,Muito Popular
Alternative,Breaking Benjamin,I Will Not Bow,67,0.543,0.952,107.942,0.591,Muito Popular
Alternative,Eve 6,Inside Out,64,0.483,0.818,175.668,0.691,Popular
Alternative,Mac Ayres,Easy,69,0.722,0.282,91.367,0.217,Muito Popular
Alternative,Pearl Jam,Alive,73,0.284,0.875,75.009,0.595,Muito Popular
Alternative,Dominic Fike,Açaí Bowl,65,0.687,0.439,91.972,0.352,Muito Popular
Alternative,Doja Cat,Juicy,67,0.77,0.697,170.084,0.428,Muito Popular
Alternative,MGMT,Kids,73,0.451,0.931,122.961,0.172,Muito Popular
Alternative,Florence + The Machine,Dog Days Are Over,66,0.492,0.81,149.954,0.245,Muito Popular
Alternative,Audioslave,Like a Stone,72,0.614,0.568,107.849,0.516,Muito Popular
Alternative,3 Doors Down,Here Without You,72,0.536,0.55,144.018,0.234,Muito Popular
Alternative,Joji,WANTED U,66,0.305,0.715,82.977,0.29,Muito Popular
Alternative,Gorillaz,On Melancholy Hill,71,0.689,0.739,120.423,0.578,Muito Popular
Alternative,Two Door Cinema Club,What You Know,66,0.561,0.741,139.001,0.776,Muito Popular
Alternative,Ari Lennox,Shea Butter Baby (with J. Cole),68,0.702,0.614,155.173,0.047,Muito Popular
Alternative,Mazzy Star,Fade Into You,69,0.42,0.33,157.143,0.175,Muito Popular
Alternative,Frank Ocean,Pink Matter,61,0.399,0.247,84.093,0.493,Popular
Alternative,The Score,Legend,69,0.599,0.749,82.011,0.488,Muito Popular
Alternative,Steve Lacy,C U Girl,63,0.414,0.473,100.0,0.409,Popular
